"ID","Priority","Device Name","Alarm Name","Alarm Details","Start Time (Client Local) India Standard Time","Start Time (Device Local)","End Time (Client Local) India Standard Time","End Time (Device Local)"
"2842",201,"POWERHOUSE_1.A_BLOCK","Communication Status","Communications restored","2026-01-20 18:11:56.395","2026-01-20 18:11:56.395 (India Standard Time)","2026-01-20 18:20:26.971","2026-01-20 18:20:26.971 (India Standard Time)"
"2843",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-20 18:12:21.858","2026-01-20 18:12:21.858 (India Standard Time)","2026-01-20 19:01:56.268","2026-01-20 19:01:56.268 (India Standard Time)"
"2844",201,"POWERHOUSE_1.C_BLOCK","Communication Status","Communications restored","2026-01-20 18:12:44.026","2026-01-20 18:12:44.026 (India Standard Time)","2026-01-20 18:22:14.784","2026-01-20 18:22:14.784 (India Standard Time)"
"2845",201,"POWERHOUSE_1.E_BLOCK","Communication Status","Communications restored","2026-01-20 18:12:51.783","2026-01-20 18:12:51.783 (India Standard Time)","2026-01-20 18:21:22.536","2026-01-20 18:21:22.536 (India Standard Time)"
"2846",201,"POWERHOUSE_1.B_BLOCK","Communication Status","Communications restored","2026-01-20 18:12:51.799","2026-01-20 18:12:51.799 (India Standard Time)","2026-01-20 18:21:54.632","2026-01-20 18:21:54.632 (India Standard Time)"
"2848",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-20 18:12:51.863","2026-01-20 18:12:51.863 (India Standard Time)","2026-01-20 19:01:58.211","2026-01-20 19:01:58.211 (India Standard Time)"
"2847",201,"POWERHOUSE_1.TO_POWERHOUSE_2","Communication Status","Communications restored","2026-01-20 18:12:51.911","2026-01-20 18:12:51.911 (India Standard Time)","2026-01-20 18:21:22.599","2026-01-20 18:21:22.599 (India Standard Time)"
"2849",201,"POWERHOUSE_1.B_BLOCK_UPS","Communication Status","Communications restored","2026-01-20 18:13:07.671","2026-01-20 18:13:07.671 (India Standard Time)","2026-01-20 18:22:08.226","2026-01-20 18:22:08.226 (India Standard Time)"
"2851",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-20 18:59:27.730","2026-01-20 18:59:27.730 (India Standard Time)","2026-01-21 08:18:06.992","2026-01-21 08:18:06.992 (India Standard Time)"
"2852",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-21 08:16:48.113","2026-01-21 08:16:48.113 (India Standard Time)","2026-01-21 08:25:50.307","2026-01-21 08:25:50.307 (India Standard Time)"
